velocidadLeft velocidadRight pwmLeft pwmRight posLeft posRight ticksSinAct
0.05428 0.06744 50 50 801 1009 3
0.05416 0.06771 50 50 815 1027 2
0.05490 0.06695 50 50 830 1045 0
0.05502 0.06958 50 50 844 1063 0
0.05479 0.06676 50 50 858 1080 4
0.05545 0.06836 50 50 873 1098 3
0.05613 0.06718 50 50 887 1116 1
0.05438 0.06798 50 50 902 1134 0
0.05404 0.06740 50 50 916 1152 5
0.05383 0.06762 50 50 931 1169 4
0.05439 0.06668 50 50 945 1187 4
0.05381 0.06756 50 50 959 1205 4
0.05371 0.06750 50 50 973 1223 3
0.05393 0.06657 50 50 988 1241 1
0.05373 0.06798 50 50 1002 1259 0
0.05389 0.06754 50 50 1016 1276 4
0.05368 0.06918 50 50 1030 1294 4
0.05371 0.06701 50 50 1045 1312 2
0.05299 0.06711 50 50 1059 1330 2
0.05410 0.06624 50 50 1073 1348 0
0.05395 0.06702 50 50 1087 1365 4
0.05390 0.06620 50 50 1102 1383 3
0.05428 0.06695 50 50 1116 1401 1
0.05452 0.06843 50 50 1131 1419 1
0.05467 0.06701 50 50 1145 1437 0
0.05506 0.06727 50 50 1159 1455 4
0.05616 0.06675 50 50 1174 1472 3
0.05537 0.06928 50 50 1188 1490 3
0.05437 0.06713 50 50 1203 1508 2
0.05528 0.06766 50 50 1217 1526 2
0.05431 0.06673 50 50 1232 1544 1
0.05420 0.06754 50 50 1246 1562 0
0.05389 0.06682 50 50 1261 1580 5
0.05400 0.06711 50 50 1275 1597 4
0.05447 0.06738 50 50 1289 1615 3
0.05348 0.06758 50 50 1304 1633 2
0.05396 0.06782 50 50 1318 1651 1
0.05413 0.06690 50 50 1332 1669 0
0.05342 0.06886 50 50 1346 1687 5
0.05287 0.06668 50 50 1359 1704 4
0.05372 0.06708 50 50 1373 1722 2
0.05325 0.06593 50 50 1387 1740 1
0.05361 0.06677 50 50 1402 1758 0
0.05415 0.06705 50 50 1416 1775 5
0.05447 0.06779 50 50 1430 1793 4
0.05454 0.06807 50 50 1444 1811 3
0.05586 0.06674 50 50 1459 1829 1
0.05555 0.06893 50 50 1473 1847 0
0.05444 0.06728 50 50 1488 1865 0
0.05449 0.06847 50 50 1502 1883 5
0.05492 0.06683 50 50 1517 1900 4
0.05416 0.06803 50 50 1531 1918 4
0.05497 0.06689 50 50 1546 1936 3
0.05471 0.06699 50 50 1560 1954 3
0.05483 0.06805 50 50 1574 1972 1
0.05432 0.06773 50 50 1587 1990 0
0.05420 0.06787 50 50 1601 2007 5
0.05417 0.06714 50 50 1616 2025 4
0.05422 0.06854 50 50 1630 2043 2
0.05454 0.06677 50 50 1645 2061 1
0.05391 0.06842 50 50 1659 2079 5
0.05430 0.06651 50 50 1673 2096 5
0.05326 0.06748 50 50 1687 2114 3
0.05523 0.06684 50 50 1700 2132 2
0.05458 0.06751 50 50 1714 2150 1
0.05482 0.06793 50 50 1728 2168 0
0.05437 0.06718 50 50 1743 2186 5
0.05427 0.06793 50 50 1757 2203 4
0.05413 0.06716 50 50 1771 2221 3
0.05412 0.06869 50 50 1785 2239 3
0.05435 0.06669 50 50 1800 2257 2
0.05379 0.06784 50 50 1814 2275 1
0.05361 0.06664 50 50 1828 2293 0
0.05445 0.06748 50 50 1841 2311 0
0.05452 0.06629 50 50 1855 2328 4
0.05445 0.06746 50 50 1870 2346 3
0.05433 0.06826 50 50 1884 2364 2
0.05395 0.06716 50 50 1899 2382 1
0.05459 0.06828 50 50 1913 2400 0
0.05380 0.06671 50 50 1927 2417 4
0.05507 0.06957 50 50 1940 2435 4
0.05464 0.06695 50 50 1954 2453 2
0.05539 0.06750 50 50 1969 2471 1
0.05520 0.06700 50 50 1983 2489 0
0.05439 0.06750 50 50 1998 2507 5
0.05364 0.06651 50 50 2012 2524 4
0.05429 0.06710 50 50 2026 2542 2
0.05358 0.06793 50 50 2041 2560 1
0.05403 0.06701 50 50 2055 2578 1
0.05383 0.06830 60 60 0 0 0
0.06855 0.06876 60 60 17 20 4
0.06994 0.08526 60 60 36 41 1
