velocidadLeft velocidadRight pwmLeft pwmRight posLeft posRight velocidadObjetivo ticksSinAct
0.08684 0.10144 71 71 1138 1354 0.10000 2
0.08368 0.10318 71 71 1160 1381 0.10000 3
0.08717 0.10066 71 71 1183 1409 0.10000 3
0.08623 0.10118 71 71 1206 1436 0.10000 3
0.08672 0.10248 71 71 1229 1463 0.10000 0
0.08665 0.10233 71 71 1252 1490 0.10000 0
0.08655 0.09914 71 71 1275 1517 0.10000 0
0.08760 0.10380 71 71 1298 1544 0.10000 1
0.08872 0.10232 71 71 1321 1571 0.10000 1
0.08944 0.10076 71 71 1343 1598 0.10000 1
0.08753 0.13756 71 71 1366 1625 0.10000 2
0.08910 0.10121 71 71 1388 1650 0.10000 2
0.08727 0.10181 71 71 1411 1675 0.10000 2
0.08634 0.09964 71 71 1433 1700 0.10000 2
0.08736 0.10376 71 71 1456 1727 0.10000 3
0.08381 0.10198 71 71 1479 1755 0.10000 3
0.08751 0.10010 71 71 1502 1782 0.10000 3
0.08694 0.10063 71 71 1525 1809 0.10000 0
0.09030 0.10113 71 71 1548 1836 0.10000 0
0.08682 0.09828 71 71 1569 1863 0.10000 0
0.08928 0.10415 71 71 1590 1890 0.10000 1
0.08527 0.10085 71 71 1612 1917 0.10000 1
0.08647 0.10330 71 71 1635 1944 0.10000 1
0.08726 0.10384 71 71 1658 1969 0.10000 2
0.08845 0.10065 71 71 1681 1994 0.10000 2
0.09006 0.10100 71 71 1703 2019 0.10000 2
0.09076 0.10228 71 71 1726 2046 0.10000 3
0.08763 0.10180 71 71 1748 2074 0.10000 3
0.08710 0.10118 71 71 1771 2101 0.10000 3
0.08527 0.10172 71 71 1792 2128 0.10000 0
0.08456 0.10383 71 71 1813 2155 0.10000 0
0.08516 0.10205 71 71 1834 2182 0.10000 0
0.09025 0.10501 71 71 1855 2209 0.10000 1
0.08608 0.10123 71 71 1877 2236 0.10000 1
0.08986 0.09686 71 71 1900 2263 0.10000 1
0.08550 0.10358 71 71 1923 2289 0.10000 3
0.08699 0.10279 71 71 1946 2316 0.10000 0
0.08747 0.10527 71 71 1969 2343 0.10000 1
0.08464 0.10650 71 71 1990 2370 0.10000 2
0.08778 0.10321 71 71 2012 2396 0.10000 3
0.08705 0.10207 71 71 2035 2423 0.10000 0
0.09216 0.09795 71 71 2057 2450 0.10000 1
0.09009 0.10140 71 71 2080 2477 0.10000 2
0.08807 0.10277 71 71 2102 2502 0.10000 3
0.08807 0.10749 71 71 2125 2529 0.10000 3
0.08598 0.10112 71 71 2148 2557 0.10000 3
0.08686 0.10216 71 71 2171 2584 0.10000 0
0.09119 0.10330 71 71 2194 2611 0.10000 0
0.08666 0.10217 71 71 2215 2638 0.10000 0
0.08755 0.09737 71 71 2237 2665 0.10000 0
0.09018 0.10117 71 71 2260 2692 0.10000 1
0.08712 0.10105 71 71 2283 2719 0.10000 1
0.09010 0.14155 71 71 2306 2746 0.10000 2
0.08689 0.10134 71 71 2327 2773 0.10000 2
0.08732 0.10329 71 71 2349 2798 0.10000 2
0.08478 0.10187 71 71 2372 2823 0.10000 2
0.08723 0.10433 71 71 2396 2848 0.10000 3
0.09119 0.10102 71 71 2419 2876 0.10000 3
0.08894 0.10181 71 71 2443 2903 0.10000 0
0.08768 0.10028 71 71 2466 2930 0.10000 0
0.08496 0.10103 71 71 2489 2957 0.10000 0
0.08711 0.10168 71 71 2512 2984 0.10000 1
0.08428 0.10824 71 71 2533 3011 0.10000 1
0.08649 0.10212 71 71 2555 3038 0.10000 1
0.09122 0.09839 71 71 2578 3065 0.10000 1
0.08624 0.10037 71 71 2601 3090 0.10000 2
0.08441 0.10148 71 71 2624 3115 0.10000 2
0.08644 0.10190 71 71 2647 3140 0.10000 2
0.08705 0.10766 71 71 2668 3168 0.10000 3
0.08777 0.10345 71 71 2690 3195 0.10000 3
0.08809 0.10218 71 71 2713 3222 0.10000 3
0.08608 0.10970 71 71 2735 3249 0.10000 1
0.08763 0.10105 71 71 2758 3276 0.10000 1
0.08863 0.09721 71 71 2780 3303 0.10000 1
0.08787 0.10218 71 71 2803 3330 0.10000 2
0.08615 0.10188 71 71 2826 3356 0.10000 3
0.09158 0.10267 71 71 2847 3383 0.10000 0
0.08404 0.10147 71 71 2868 3410 0.10000 1
0.08674 0.10431 71 71 2890 3437 0.10000 2
0.08765 0.10225 71 71 2913 3462 0.10000 2
0.08716 0.10075 71 71 2936 3488 0.10000 3
0.08766 0.10072 71 71 2959 3515 0.10000 3
0.08306 0.10100 71 71 2980 3542 0.10000 3
0.08536 0.10072 71 71 3002 3569 0.10000 0
0.08578 0.10230 71 71 3025 3596 0.10000 0
0.08594 0.10318 71 71 3048 3623 0.10000 1
0.08862 0.10779 71 71 3072 3650 0.10000 1
0.08811 0.10198 71 71 3095 3677 0.10000 1
0.08528 0.09851 71 71 3119 3704 0.10000 1
0.08966 0.10552 71 71 3142 3729 0.10000 2
0.08617 0.10107 71 71 3165 3754 0.10000 2
0.08662 0.10064 71 71 3186 3779 0.10000 2
0.08677 0.10284 71 71 3208 3807 0.10000 3
0.08665 0.10356 71 71 3231 3834 0.10000 3
0.08733 0.10245 71 71 3254 3861 0.10000 3
0.08713 0.10587 71 71 3277 3888 0.10000 0
0.08643 0.10052 71 71 3300 3915 0.10000 0
0.08684 0.10034 71 71 3321 3942 0.10000 0
0.09280 0.10140 71 71 3343 3969 0.10000 1
0.08927 0.10346 71 71 3366 3996 0.10000 2
0.08479 0.09962 71 71 3389 4021 0.10000 2
0.08850 0.10426 71 71 3411 4049 0.10000 3
0.08477 0.10178 71 71 3434 4076 0.10000 0
0.09144 0.10303 71 71 3456 4103 0.10000 2
0.09380 0.10130 71 71 3479 4129 0.10000 3
0.08750 0.09932 71 71 3501 4156 0.10000 0
0.08450 0.10036 71 71 3524 4183 0.10000 1
0.08692 0.10103 71 71 3547 4210 0.10000 1
0.08578 0.10167 71 71 3570 4237 0.10000 1
0.08701 0.10378 71 71 3593 4264 0.10000 2
0.08725 0.08138 71 71 3614 4289 0.10000 2
0.08587 0.10238 71 71 3635 4314 0.10000 2
0.08710 0.10053 71 71 3657 4339 0.10000 2
0.08745 0.10078 71 71 3680 4367 0.10000 3
0.08701 0.10117 71 71 3703 4394 0.10000 3
0.07091 0.10276 71 71 3726 4421 0.10000 0
0.08837 0.10217 71 71 3748 4448 0.10000 0
0.08494 0.10046 71 71 3771 4475 0.10000 0
0.08809 0.09911 71 71 3795 4502 0.10000 0
0.09117 0.10241 71 71 3818 4529 0.10000 1
0.09066 0.10111 71 71 3841 4556 0.10000 1
0.08704 0.10081 71 71 3863 4583 0.10000 1
0.09152 0.10682 71 71 3886 4608 0.10000 2
0.08779 0.10124 71 71 3909 4633 0.10000 2
0.08572 0.10107 71 71 3932 4658 0.10000 2
