go
GO!
vlineal vlinealLeft vlinealRight vEncoderLeft vEncoderRight pwmLeft pwmRight posLeft posRight
parar en radianes: 
2.99
parar en 0.39663145
0.29444
2.20833
vlineal vlinealLeft vlinealRight vEncoderLeft vEncoderRight pwmLeft pwmRight posLeft posRight
0.20400 0.30033 0.10767 0.29651 0.10369 202 68 999 379
0.20400 0.30033 0.10767 0.27371 0.10326 202 66 1009 383
0.20400 0.30033 0.10767 0.29648 0.10379 202 67 1017 386
0.20400 0.30033 0.10767 0.29677 0.10328 202 65 1026 390
0.20400 0.30033 0.10767 0.29837 0.10348 201 65 1035 393
0.19800 0.28267 0.10133 0.32282 0.10284 193 64 1045 396
0.18600 0.27383 0.09817 0.29735 0.12528 189 61 1054 399
0.18000 0.25617 0.09183 0.31992 0.10253 181 58 1063 403
0.16800 0.24733 0.08867 0.29624 0.10188 168 56 1072 406
0.16200 0.23850 0.08233 0.29387 0.12327 161 51 1081 409
1082 410 Fin!A> go
GO!
vlineal vlinealLeft vlinealRight vEncoderLeft vEncoderRight pwmLeft pwmRight posLeft posRight
parar en radianes: 
2.99
parar en 0.39663145
0.29444
2.20833
vlineal vlinealLeft vlinealRight vEncoderLeft vEncoderRight pwmLeft pwmRight posLeft posRight
0.00000 0.22083 0.07917 0.00000 0.00000 1 0 44 15
0.00600 0.00883 0.00317 0.00000 0.00000 3 1 44 15
0.01200 0.01767 0.00950 0.00000 0.00000 6 2 44 15
0.01800 0.03533 0.01267 0.00000 0.00000 10 3 44 15
0.03000 0.04417 0.01583 0.00000 0.00000 22 8 44 15
0.03600 0.05300 0.01900 0.00000 0.00000 29 10 44 15
0.04200 0.06183 0.02217 0.00000 0.00000 38 13 44 15
0.04800 0.07067 0.02850 0.00000 0.00000 48 17 45 15
0.05400 0.08833 0.03167 0.00233 0.00000 58 21 45 15
0.06600 0.09717 0.03483 0.00233 0.00000 79 29 46 16
0.07200 0.10600 0.03800 0.02739 0.00196 90 34 47 16
0.07800 0.11483 0.04433 0.04190 0.00196 100 39 48 16
0.08400 0.13250 0.04750 0.04675 0.00196 121 48 50 17
0.09600 0.14133 0.05067 0.04956 0.02128 130 52 51 17
0.10200 0.15017 0.05700 0.05627 0.03508 143 55 53 18
0.10800 0.16783 0.06017 0.08467 0.03508 163 61 56 19
0.12000 0.17667 0.06333 0.09157 0.03828 174 65 59 20
0.12600 0.18550 0.06967 0.10201 0.03828 185 68 62 21
0.13800 0.20317 0.07283 0.10675 0.03902 202 76 66 23
0.14400 0.21200 0.07600 0.14610 0.04880 202 80 71 24
0.15000 0.22967 0.08233 0.17573 0.07029 202 81 76 26
0.16200 0.23850 0.08550 0.15834 0.05467 202 89 81 28
